,0
697,BDH1
698,SLC1A5
699,GUSB
700,AGA
701,NME1
702,ACOT2
703,RPN1
704,MGAM
705,UQCR10
706,VNN1
707,IDUA
708,OLAH
709,ALPI
710,GYS2
711,ALDH3A1
712,PLA2G2E
713,EHHADH
714,ACOX3
715,GSR
716,FBP1
717,PHYH
718,UCP1
719,GNPDA2
720,PIGW
721,AASS
722,ATP6V1E1
723,PIP5K1C
724,BTD
725,PLA2G2D
726,B3GNT8
727,HSD17B3
728,PIP4K2B
729,CYP39A1
730,RWDD2A
731,PLCB3
732,ATP6V1G1
733,RBKS
734,FAH
735,UQCRC2
736,SLCO1C1
737,GNPDA1
738,BHMT2
739,SLC13A5
740,ASNS
741,MAN2B1
742,PYGM
743,RDH14
744,AGMAT
745,ATP2B2
746,RPE
747,GALNT1
748,GBGT1
749,COQ6
750,EXTL2
751,DTYMK
752,MPST
753,GLB1
754,BPNT1
755,ASL
756,MGAT2
757,SLC4A10
758,IPMK
759,CPT1C
760,SCP2
761,GOT1
762,SLCO4A1
763,P4HA1
764,ALDOA
765,PDE4B
766,PDE9A
767,BHMT
768,TYRP1
769,SLC17A5
770,CYP3A5
771,PLA2G10
772,PGAP1
773,RDH11
774,CSGALNACT2
775,LSS
776,B3GNT6
777,GALNT12
778,NT5C3A
779,CHPT1
780,PRDX2
781,PIGN
782,SDHB
783,GBE1
784,AKR1D1
785,CHST12
786,MVD
787,ADH1C
788,SOD3
789,CHIA
790,PNMT
791,HK1
792,GGT5
793,NDUFA7
794,THTPA
795,ABCB4
796,AGPS
797,SLC5A12
798,MTAP
799,GOT2
800,ALDH1A2
801,GATM
802,ALDH1A1
803,GPD1
804,SLC6A5
805,PGLS
806,HAL
807,PAH
808,SYNJ2
809,PAFAH1B3
810,SLC26A1
811,ABCC5
812,DAO
813,GCNT3
814,SLC35A1
815,UGDH
816,ATP6V0B
817,NDUFA11
818,PDHA1
819,ACSL5
820,NDUFB2
821,FUCA2
822,UGCG
823,ABCC4
824,SCLY
825,MCEE
826,GALNS
827,PNLIP
828,PTGS2
829,ALDH5A1
830,UROC1
831,ATP2B4
832,UPP1
833,GANC
834,B3GNT2
835,MTHFR
836,ALDH18A1
837,MAN2A1
838,PLCXD2
839,SLC25A26
840,GNE
841,UQCRH
842,PLA2G3
843,ECI1
844,CHST14
845,NDUFS1
846,CPT2
847,ODC1
848,DEGS1
849,DNMT3B
850,GDA
851,PTGES2
852,PAPSS2
853,UQCRQ
854,SLC22A5
855,GPX1
856,ALG5
857,CA14
858,QPRT
859,GGT1
860,HEXA
861,GLO1
862,GLCE
863,ALDOB
864,SLC25A11
865,GALNT5
