,0
671,Ftcd
672,B4galt3
673,Pi4kb
674,Pla2g12a
675,P4ha2
676,Prodh2
677,Pnp2
678,Pla2g7
679,Amt
680,Hs6st1
681,Pafah1b1
682,Otc
683,Slc6a6
684,Pip4k2a
685,Gch1
686,Mgam
687,Pgd
688,Aldh7a1
689,Slc27a5
690,Atp6v0b
691,Atp6v1d
692,Enpp3
693,Fdps
694,Slc9a3
695,Adcy9
696,Fbp2
697,Chst7
698,Plcd3
699,Pla2g2d
700,Pigv
701,Slc35c1
702,Hmgcs1
703,Plch2
704,Man2b1
705,Slc19a1
706,Galns
707,Ndufb9
708,Cds2
709,Prdx3
710,Atp6v0d2
711,Pde6a
712,Cps1
713,Gpt
714,Dgkh
715,Uqcrb
716,Slc6a1
717,Slc38a1
718,Pcbd1
719,Slc24a4
720,Chst3
721,Sphk2
722,Slc7a1
723,Pla2g2f
724,Slc25a16
725,Slc6a12
726,Pafah1b2
727,Ckb
728,Bco1
729,Car12
730,Oplah
731,Bhmt2
732,Ahcyl1
733,Galnt4
734,Man1a
735,Pde6d
736,Pycr2
737,Sdhc
738,Ptdss2
739,Slc35b2
740,Slc17a3
741,Ada
742,Ndufb10
743,Slc27a1
744,Fpgs
745,Dnmt3a
746,mt-Co3
747,Ndufs7
748,Sat1
749,Gcnt1
750,Slc27a4
751,Suv39h2
752,Ndufc2
753,Slc2a2
754,Comtd1
755,Folr1
756,P4ha1
757,Aga
758,Elovl4
759,Mtap
760,Pgk2
761,Adcy3
762,Alox12
763,Gns
764,Acat1
765,Hsd17b7
766,Cyp2a4
767,Cyp3a13
768,Ass1
769,Ndufa10
770,B3gnt4
771,Aldh3b1
772,Dpagt1
773,Mogat1
774,Pank4
775,Ndufb4
776,Sephs2
777,Pde4b
778,Cyp39a1
779,Slc3a2
780,Pigh
781,Nt5c1b
782,Slc2a12
783,Slc12a6
784,Blvrb
785,Pigw
786,Slc1a6
787,Gnpnat1
788,Pikfyve
789,Pcca
790,Slc1a4
791,Slc5a5
792,Hmox2
793,Pde10a
794,Galnt14
795,Rfk
796,G6pdx
797,Cyp19a1
798,Nme2
799,Pde3b
800,Cyp11a1
801,Cyc1
802,Slc17a2
803,Slc2a7
804,Pigs
805,Oat
806,Ganc
807,Esd
808,Npr2
809,Pgm2
810,Csad
811,Agxt
812,Aadac
813,Cpt1a
814,Srd5a2
815,Slc13a3
816,Aspa
817,Olah
818,Nt5m
819,B3gnt7
820,Slc35a3
821,Pfkp
822,Acly
823,Haao
824,Slc7a11
825,Aicda
826,Cyp2e1
