,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
BMP8B_BMPR1A_ACVR2A,BMP8B_BMPR1A_ACVR2A,BMP,BMP8B,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (BMPR1A+ACVR2A)
BMP8B_BMPR1A_ACVR2B,BMP8B_BMPR1A_ACVR2B,BMP,BMP8B,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (BMPR1A+ACVR2B)
BMP8B_BMPR1A_BMPR2,BMP8B_BMPR1A_BMPR2,BMP,BMP8B,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (BMPR1A+BMPR2)
BMP8B_BMPR1B_ACVR2A,BMP8B_BMPR1B_ACVR2A,BMP,BMP8B,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (BMPR1B+ACVR2A)
BMP8B_BMPR1B_ACVR2B,BMP8B_BMPR1B_ACVR2B,BMP,BMP8B,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (BMPR1B+ACVR2B)
BMP8B_BMPR1B_BMPR2,BMP8B_BMPR1B_BMPR2,BMP,BMP8B,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (BMPR1B+BMPR2)
BMP10_ACVRL1_BMPR2,BMP10_ACVRL1_BMPR2,BMP10,BMP10,ACVRL1_BMPR2,,,BMP10 activation receptor,,KEGG: hsa04350; PMID:26893264; PMID: 25620979,Secreted Signaling,BMP10 - (ACVRL1+BMPR2)
BMP10_ACVRL1_ACVR2A,BMP10_ACVRL1_ACVR2A,BMP10,BMP10,ACVRL1_ACVR2A,,,BMP10 activation receptor,,KEGG: hsa04350; PMID:26893264; PMID: 25620979,Secreted Signaling,BMP10 - (ACVRL1+ACVR2A)
GDF2_ACVRL1_BMPR2,GDF2_ACVRL1_BMPR2,BMP10,GDF2,ACVRL1_BMPR2,,,BMP10 activation receptor,,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF2 - (ACVRL1+BMPR2)
GDF2_ACVRL1_ACVR2A,GDF2_ACVRL1_ACVR2A,BMP10,GDF2,ACVRL1_ACVR2A,,,BMP10 activation receptor,,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF2 - (ACVRL1+ACVR2A)
